kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode,bagian
ERAA,1.0774893052112255,1.1446274198382458,-0.8355410656561232,0.9235056577980524,0.34240423495105266,1.1564159832443226,1.4357331323765354,-0.6473097101849034,-0.035833336804532934,0.09991236602095147,0.27254504256419976,1.8276566041149274,-0.33067839903793445,-0.9111908177513708,-0.07684846411106028,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Likuid,2,train
LAPD,-0.25460456022616496,-0.4088675609345791,0.1837574629958624,-1.2262998478100973,-1.5178822371109517,0.30078345150722635,0.05446938115919274,0.9480059574935209,1.5411963595282068,-0.2467956246678516,-1.8322697213172288,-0.08831438164047264,0.11463577715326305,-0.29096380034196523,0.8059385867700807,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1,train
BYAN,0.5275362431831078,0.41318249774158083,-0.7338533296935076,2.6900926070359414,2.3489853360382233,-0.5091815525837003,-1.1287311160934825,-0.6403937663422227,-0.9758823698964011,-1.1488314638031198,1.1811693698316668,-0.9530003551978187,-0.33067839903793445,-0.6510956169022651,0.2061913609873382,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
LRNA,-0.45527609599570557,-0.4645013025039933,1.0969427458713974,-1.391333500188309,-0.2580926206518702,-0.4991748605286919,-0.328019106765527,1.1647004012775861,0.34893746890223193,1.0366728062829111,-0.008232672755170567,-0.6421489587808459,-0.33067839903793445,-0.6711029400445041,-0.27490668462700263,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0,train
CBRE,-0.14459189825916943,-0.16965652556192146,0.5212769562493144,-1.0733407898232654,-1.4103733569929737,0.35900814339418347,0.11179061307511456,0.24217357756698457,1.0422925033652877,-0.6030368787055319,-0.30741881230067586,0.331066204369118,-0.3072408108173451,-0.01086127635062089,-1.0158255376942622,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2,train
GEMS,0.6623692339958149,0.7357519393019695,-0.3039188154784782,1.9412142595627269,2.2565320614729547,-0.17408863599425414,-0.892028145412312,-0.6412944006789563,-0.012306422632110268,-0.04044045507839752,-0.7837250167107567,1.3794512222387665,-0.33067839903793445,-1.1312713723159984,-0.07057932934678074,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Menengah,1,train
JECC,-0.2805777841919377,-0.45941412504472073,0.1291488550689402,-0.3690676199125621,0.5704741204891653,-0.6688560316902713,-0.8609704180959146,0.36997240070775733,0.7688676950905844,0.37425314590481507,-0.6470287926123348,0.7081729265381875,-0.33067839903793445,-0.07088324577733739,1.5403561148966056,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0,train
SOLA,-0.30792242304740086,0.5482915292865588,4.273057180452848,-0.8756386746046576,-0.9707579490095702,-0.04284192304177077,-0.5490190197225674,-0.6456205224408099,0.6106778418789844,-0.7579372459580785,0.35338307108049194,-0.9653582994925398,-0.1900528697143984,2.12992229986894,-1.128437773274839,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Menengah,1,train
OASA,1.065392628497676,1.0625998708827171,-1.0094803023732677,-0.06385565884787082,-0.3480899642762584,1.427779386809355,3.005613274143854,-0.6463805621745352,0.1309692756604594,0.6073710750394555,0.23752963983789116,0.5874636784168741,0.27869889469738846,-0.49103703176435404,-0.46646358020221074,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Likuid,2,train
LPLI,-0.21734434569567293,-0.36991144712369206,0.13420085541161067,-0.5592975221073806,0.05916956239668217,-0.3620215695110417,-0.6308268571791366,1.1483927667669651,0.1462235934982858,0.39798273917483373,0.5969648581850571,0.6812272190882933,-0.33067839903793445,-0.7911468788979373,1.800873492878889,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,train
